,continent,country_code,location,capital,latitude,longitude,last_updated_date,total_cases,new_cases,total_deaths,new_deaths
0,Asia,AFG,Afghanistan,Kabul,33.00000000,65.00000000,2024-08-04,235214.0,0.0,7998.0,0.0
1,,OWID_AFR,Africa,,,,2024-08-04,13145380.0,36.0,259117.0,0.0
2,Europe,ALB,Albania,Tirana,41.00000000,20.00000000,2024-08-04,335047.0,0.0,3605.0,0.0
3,Africa,DZA,Algeria,Algiers,28.00000000,3.00000000,2024-08-04,272139.0,18.0,6881.0,0.0
4,Oceania,ASM,American Samoa,Pago Pago,-14.33333333,-170.00000000,2024-08-04,8359.0,0.0,34.0,0.0
5,Europe,AND,Andorra,Andorra la Vella,42.50000000,1.50000000,2024-08-04,48015.0,0.0,159.0,0.0
6,Africa,AGO,Angola,Luanda,-12.50000000,18.50000000,2024-08-04,107481.0,0.0,1937.0,0.0
7,North America,AIA,Anguilla,The Valley,18.25000000,-63.16666666,2024-08-04,3904.0,0.0,12.0,0.0
8,North America,ATG,Antigua and Barbuda,St. John's,17.05000000,-61.80000000,2024-08-04,9106.0,0.0,146.0,0.0
9,South America,ARG,Argentina,Buenos Aires,-34.00000000,-64.00000000,2024-08-04,10101218.0,54.0,130663.0,1.0
10,Asia,ARM,Armenia,Yerevan,40.00000000,45.00000000,2024-08-04,452273.0,0.0,8777.0,0.0
11,North America,ABW,Aruba,Oranjestad,12.50000000,-69.96666666,2024-08-04,44224.0,0.0,292.0,0.0
12,,OWID_ASI,Asia,,,,2024-08-14,301499099.0,4515.0,1637249.0,17.0
13,Oceania,AUS,Australia,Canberra,-27.00000000,133.00000000,2024-08-04,11861161.0,0.0,25236.0,0.0
14,Europe,AUT,Austria,Vienna,47.33333333,13.33333333,2024-08-04,6082444.0,15.0,22534.0,0.0
15,Asia,AZE,Azerbaijan,Baku,40.50000000,47.50000000,2024-08-04,835757.0,63.0,10353.0,0.0
16,North America,BHS,Bahamas,Nassau,24.25000000,-76.00000000,2024-08-04,39127.0,0.0,849.0,0.0
17,Asia,BHR,Bahrain,Manama,26.00000000,50.55000000,2024-08-04,696614.0,0.0,1536.0,0.0
18,Asia,BGD,Bangladesh,Dhaka,24.00000000,90.00000000,2024-08-04,2051348.0,40.0,29499.0,0.0
19,North America,BRB,Barbados,Bridgetown,13.16666666,-59.53333333,2024-08-04,108582.0,57.0,593.0,0.0
20,Europe,BLR,Belarus,Minsk,53.00000000,28.00000000,2024-08-04,994037.0,0.0,7118.0,0.0
21,Europe,BEL,Belgium,Brussels,50.83333333,4.00000000,2024-08-04,4872829.0,1277.0,34339.0,0.0
22,North America,BLZ,Belize,Belmopan,17.25000000,-88.75000000,2024-08-04,71414.0,0.0,688.0,0.0
23,Africa,BEN,Benin,Porto-Novo,9.50000000,2.25000000,2024-08-04,28036.0,0.0,163.0,0.0
24,North America,BMU,Bermuda,Hamilton,32.33333333,-64.75000000,2024-08-04,18860.0,0.0,165.0,0.0
25,Asia,BTN,Bhutan,Thimphu,27.50000000,90.50000000,2024-08-04,62697.0,0.0,21.0,0.0
26,South America,BOL,Bolivia,Sucre,-17.00000000,-65.00000000,2024-08-04,1212147.0,2.0,22387.0,0.0
27,North America,BES,Bonaire Sint Eustatius and Saba,Kralendijk,12.15000000,-68.26666700,2024-08-04,11922.0,0.0,41.0,0.0
28,Europe,BIH,Bosnia and Herzegovina,Sarajevo,44.00000000,18.00000000,2024-08-04,403666.0,0.0,16392.0,0.0
29,Africa,BWA,Botswana,Gaborone,-22.00000000,24.00000000,2024-08-04,330696.0,0.0,2801.0,0.0
30,South America,BRA,Brazil,Brasilia,-10.00000000,-55.00000000,2024-08-04,37511921.0,0.0,702116.0,0.0
31,North America,VGB,British Virgin Islands,Road Town,18.43138300,-64.62305000,2024-08-04,7557.0,0.0,64.0,0.0
32,Asia,BRN,Brunei,Bandar Seri Begawan,4.50000000,114.66666666,2024-08-04,347723.0,288.0,179.0,1.0
33,Europe,BGR,Bulgaria,Sofia,43.00000000,25.00000000,2024-08-04,1329988.0,257.0,38700.0,0.0
34,Africa,BFA,Burkina Faso,Ouagadougou,13.00000000,-2.00000000,2024-08-04,22139.0,0.0,400.0,0.0
35,Africa,BDI,Burundi,Bujumbura,-3.50000000,30.00000000,2024-08-04,54569.0,0.0,15.0,0.0
36,Asia,KHM,Cambodia,Phnom Penh,13.00000000,105.00000000,2024-08-04,139319.0,6.0,3056.0,0.0
37,Africa,CMR,Cameroon,Yaounde,6.00000000,12.00000000,2024-08-04,125246.0,0.0,1974.0,0.0
38,North America,CAN,Canada,Ottawa,60.00000000,-95.00000000,2024-08-04,4819055.0,38.0,55282.0,0.0
39,Africa,CPV,Cape Verde,Praia,16.00000000,-24.00000000,2024-08-04,64474.0,0.0,417.0,0.0
40,North America,CYM,Cayman Islands,George Town,19.50000000,-80.50000000,2024-08-04,31472.0,0.0,37.0,0.0
41,Africa,CAF,Central African Republic,Bangui,7.00000000,21.00000000,2024-08-04,15441.0,0.0,113.0,0.0
42,Africa,TCD,Chad,N'Djamena,15.00000000,19.00000000,2024-08-04,7702.0,0.0,194.0,0.0
43,South America,CHL,Chile,Santiago,-30.00000000,-71.00000000,2024-08-04,5401126.0,100.0,62730.0,0.0
44,Asia,CHN,China,Beijing,35.00000000,105.00000000,2024-08-04,99373219.0,2087.0,122304.0,15.0
45,South America,COL,Colombia,Bogotá,4.00000000,-72.00000000,2024-08-04,6391876.0,976.0,142727.0,0.0
46,Africa,COM,Comoros,Moroni,-12.16666666,44.25000000,2024-08-04,9109.0,0.0,160.0,0.0
47,Africa,COG,Congo,Brazzaville,-1.00000000,15.00000000,2024-08-04,25227.0,0.0,389.0,0.0
48,Oceania,COK,Cook Islands,Avarua,-21.23333333,-159.76666666,2024-08-04,7345.0,1.0,2.0,0.0
49,North America,CRI,Costa Rica,San Jose,10.00000000,-84.00000000,2024-08-04,1234701.0,0.0,9372.0,0.0
50,Africa,CIV,Cote d'Ivoire,Yamoussoukro,8.00000000,-5.00000000,2024-08-04,88434.0,0.0,835.0,0.0
51,Europe,HRV,Croatia,Zagreb,45.16666666,15.50000000,2024-08-04,1317144.0,0.0,18752.0,0.0
52,North America,CUB,Cuba,Havana,21.50000000,-80.00000000,2024-08-04,1113662.0,0.0,8530.0,0.0
53,North America,CUW,Curacao,Willemstad,12.11666700,-68.93333300,2024-08-04,45883.0,0.0,305.0,0.0
54,Europe,CYP,Cyprus,Nicosia,35.00000000,33.00000000,2024-08-04,696410.0,0.0,1451.0,0.0
55,Europe,CZE,Czechia,Prague,49.75000000,15.50000000,2024-08-12,4761919.0,571.0,43509.0,1.0
56,Africa,COD,Democratic Republic of Congo,Kinshasa,0.00000000,25.00000000,2024-08-04,101009.0,0.0,1474.0,0.0
57,Europe,DNK,Denmark,Copenhagen,56.00000000,10.00000000,2024-08-04,3435679.0,0.0,9693.0,0.0
58,Africa,DJI,Djibouti,Djibouti,11.50000000,43.00000000,2024-08-04,15690.0,0.0,189.0,0.0
59,North America,DMA,Dominica,Roseau,15.41666666,-61.33333333,2024-08-04,16047.0,0.0,74.0,0.0
60,North America,DOM,Dominican Republic,Santo Domingo,19.00000000,-70.66666666,2024-08-04,661103.0,0.0,4384.0,0.0
61,Asia,TLS,East Timor,Dili,-8.83333333,125.91666666,2024-08-04,23460.0,0.0,138.0,0.0
62,South America,ECU,Ecuador,Quito,-2.00000000,-77.50000000,2024-08-04,1077445.0,157.0,36050.0,0.0
63,Africa,EGY,Egypt,Cairo,27.00000000,30.00000000,2024-08-04,516023.0,0.0,24830.0,0.0
64,North America,SLV,El Salvador,San Salvador,13.83333333,-88.91666666,2024-08-04,201920.0,3.0,4230.0,0.0
65,Africa,GNQ,Equatorial Guinea,Malabo,2.00000000,10.00000000,2024-08-04,17130.0,0.0,183.0,0.0
66,Africa,ERI,Eritrea,Asmara,15.00000000,39.00000000,2024-08-04,10189.0,0.0,103.0,0.0
67,Europe,EST,Estonia,Tallinn,59.00000000,26.00000000,2024-08-12,610471.0,0.0,2998.0,0.0
68,Africa,SWZ,Eswatini,Mbabane,-26.50000000,31.50000000,2024-08-04,75356.0,0.0,1427.0,0.0
69,Africa,ETH,Ethiopia,Addis Ababa,8.00000000,38.00000000,2024-08-04,501193.0,0.0,7574.0,0.0
70,,OWID_EUR,Europe,,,,2024-08-14,252916868.0,39047.0,2102483.0,162.0
71,,OWID_EUN,European Union (27),,,,2024-08-14,185822587.0,25642.0,1262988.0,150.0
72,South America,FLK,Falkland Islands,Stanley,-51.75000000,-59.00000000,2024-08-04,1923.0,0.0,0.0,0.0
73,Europe,FRO,Faroe Islands,Torshavn,62.00000000,-7.00000000,2024-08-04,34658.0,0.0,28.0,0.0
74,Oceania,FJI,Fiji,Suva,-18.00000000,175.00000000,2024-08-04,69047.0,0.0,885.0,0.0
75,Europe,FIN,Finland,Helsinki,64.00000000,26.00000000,2024-08-04,1499712.0,0.0,11466.0,0.0
76,Europe,FRA,France,Paris,46.00000000,2.00000000,2024-08-04,38997490.0,,168091.0,
77,South America,GUF,French Guiana,Cayenne,4.00000000,-53.00000000,2024-08-04,98041.0,0.0,413.0,0.0
78,Oceania,PYF,French Polynesia,Papeete,-15.00000000,-140.00000000,2024-08-04,79387.0,47.0,650.0,0.0
79,Africa,GAB,Gabon,Libreville,-1.00000000,11.75000000,2024-08-04,49051.0,0.0,307.0,0.0
80,Africa,GMB,Gambia,Banjul,13.46666666,-16.56666666,2024-08-04,12627.0,0.0,372.0,0.0
81,Asia,GEO,Georgia,Tbilisi,42.00000000,43.50000000,2024-08-04,1863615.0,0.0,17150.0,0.0
82,Europe,DEU,Germany,Berlin,51.00000000,9.00000000,2024-08-04,38437756.0,,174979.0,
83,Africa,GHA,Ghana,Accra,8.00000000,-2.00000000,2024-08-04,172062.0,0.0,1462.0,0.0
84,Europe,GIB,Gibraltar,Gibraltar,36.13333333,-5.35000000,2024-08-04,20550.0,0.0,113.0,0.0
85,Europe,GRC,Greece,Athens,39.00000000,22.00000000,2024-08-04,5673681.0,5818.0,39258.0,40.0
86,North America,GRL,Greenland,Nuuk,72.00000000,-40.00000000,2024-08-04,11971.0,0.0,21.0,0.0
87,North America,GRD,Grenada,St. George's,12.11666666,-61.66666666,2024-08-04,19693.0,0.0,238.0,0.0
88,North America,GLP,Guadeloupe,Basse-Terre,16.25000000,-61.58333300,2024-08-04,203235.0,0.0,1021.0,0.0
89,Oceania,GUM,Guam,Hagatna,13.46666666,144.78333333,2024-08-04,52287.0,0.0,419.0,0.0
90,North America,GTM,Guatemala,Guatemala City,15.50000000,-90.25000000,2024-08-04,1250371.0,1.0,20203.0,0.0
91,Europe,GGY,Guernsey,St Peter Port,49.46666666,-2.58333333,2024-08-04,35326.0,0.0,67.0,0.0
92,Africa,GIN,Guinea,Conakry,11.00000000,-10.00000000,2024-08-04,38572.0,0.0,468.0,0.0
93,Africa,GNB,Guinea-Bissau,Bissau,12.00000000,-15.00000000,2024-08-04,9614.0,0.0,177.0,0.0
94,South America,GUY,Guyana,Georgetown,5.00000000,-59.00000000,2024-08-04,74443.0,4.0,1302.0,0.0
95,North America,HTI,Haiti,Port-au-Prince,19.00000000,-72.41666666,2024-08-04,34456.0,0.0,860.0,0.0
96,,OWID_HIC,High-income countries,,,,2024-08-14,429044049.0,32293.0,2997359.0,786.0
97,North America,HND,Honduras,Tegucigalpa,15.00000000,-86.50000000,2024-08-04,472896.0,1.0,11114.0,0.0
98,Asia,HKG,Hong Kong,Hong Kong,22.25000000,114.16666666,2024-08-10,,,,
99,Europe,HUN,Hungary,Budapest,47.00000000,20.00000000,2024-08-04,2230800.0,143.0,49053.0,0.0
100,Europe,ISL,Iceland,Reykjavik,65.00000000,-18.00000000,2024-08-04,210374.0,27.0,186.0,0.0
101,Asia,IND,India,New Delhi,20.00000000,77.00000000,2024-08-12,45041748.0,313.0,533623.0,0.0
102,Asia,IDN,Indonesia,Jakarta,-5.00000000,120.00000000,2024-08-04,6829399.0,46.0,162059.0,0.0
103,Asia,IRN,Iran,Tehran,32.00000000,53.00000000,2024-08-04,7627863.0,0.0,146837.0,0.0
104,Asia,IRQ,Iraq,Baghdad,33.00000000,44.00000000,2024-08-04,2465545.0,0.0,25375.0,0.0
105,Europe,IRL,Ireland,Dublin,53.00000000,-8.00000000,2024-08-04,1745088.0,761.0,9744.0,9.0
106,Europe,IMN,Isle of Man,"Douglas, Isle of Man",54.25000000,-4.50000000,2024-08-04,38008.0,0.0,116.0,0.0
107,Asia,ISR,Israel,Jerusalem,31.50000000,34.75000000,2024-08-04,4841558.0,0.0,12707.0,0.0
108,Europe,ITA,Italy,Rome,42.83333333,12.83333333,2024-08-07,26781078.0,6350.0,197307.0,6.0
109,North America,JAM,Jamaica,Kingston,18.25000000,-77.50000000,2024-08-04,157181.0,12.0,3611.0,0.0
110,Asia,JPN,Japan,Tokyo,36.00000000,138.00000000,2024-08-04,33803572.0,0.0,74694.0,0.0
111,Europe,JEY,Jersey,Saint Helier,49.25000000,-2.16666666,2024-08-04,66391.0,0.0,161.0,0.0
112,Asia,JOR,Jordan,Amman,31.00000000,36.00000000,2024-08-04,1746997.0,0.0,14122.0,0.0
113,Asia,KAZ,Kazakhstan,Astana,48.00000000,68.00000000,2024-08-04,1504370.0,0.0,19072.0,0.0
114,Africa,KEN,Kenya,Nairobi,1.00000000,38.00000000,2024-08-04,344106.0,0.0,5689.0,0.0
115,Oceania,KIR,Kiribati,Tarawa,1.41666666,173.00000000,2024-08-04,5085.0,0.0,24.0,0.0
116,Europe,OWID_KOS,Kosovo,,,,2024-08-04,274279.0,0.0,3212.0,0.0
117,Asia,KWT,Kuwait,Kuwait City,29.50000000,45.75000000,2024-08-04,667290.0,0.0,2570.0,0.0
118,Asia,KGZ,Kyrgyzstan,Bishkek,41.00000000,75.00000000,2024-08-04,88953.0,0.0,1024.0,0.0
119,Asia,LAO,Laos,Vientiane,18.00000000,105.00000000,2024-08-04,219060.0,0.0,671.0,0.0
120,Europe,LVA,Latvia,Riga,57.00000000,25.00000000,2024-08-04,977765.0,0.0,7475.0,0.0
121,Asia,LBN,Lebanon,Beirut,33.83333333,35.83333333,2024-08-04,1239904.0,0.0,10947.0,0.0
122,Africa,LSO,Lesotho,Maseru,-29.50000000,28.50000000,2024-08-04,36138.0,0.0,709.0,0.0
