,continent,country_code,location,capital,latitude,longitude,last_updated_date,total_cases,new_cases,total_deaths,new_deaths
123,Africa,LBR,Liberia,Monrovia,6.50000000,-9.50000000,2024-08-04,7930.0,0.0,294.0,0.0
124,Africa,LBY,Libya,Tripolis,25.00000000,17.00000000,2024-08-04,507269.0,0.0,6437.0,0.0
125,Europe,LIE,Liechtenstein,Vaduz,47.26666666,9.53333333,2024-08-04,21588.0,0.0,89.0,0.0
126,Europe,LTU,Lithuania,Vilnius,56.00000000,24.00000000,2024-08-14,1369355.0,807.0,9810.0,0.0
127,,OWID_LIC,Low-income countries,,,,2024-08-04,1944334.0,0.0,43529.0,0.0
128,,OWID_LMC,Lower-middle-income countries,,,,2024-08-12,91954400.0,598.0,1188026.0,0.0
129,Europe,LUX,Luxembourg,Luxembourg,49.75000000,6.16666666,2024-08-04,393542.0,190.0,1000.0,0.0
130,Africa,MDG,Madagascar,Antananarivo,-20.00000000,47.00000000,2024-08-04,68567.0,0.0,1428.0,0.0
131,Africa,MWI,Malawi,Lilongwe,-13.50000000,34.00000000,2024-08-04,89168.0,0.0,2686.0,0.0
132,Asia,MYS,Malaysia,Kuala Lumpur,2.50000000,112.50000000,2024-08-14,5309410.0,1085.0,37351.0,0.0
133,Asia,MDV,Maldives,Male,3.25000000,73.00000000,2024-08-04,186694.0,0.0,316.0,0.0
134,Africa,MLI,Mali,Bamako,17.00000000,-4.00000000,2024-08-04,33166.0,0.0,743.0,0.0
135,Europe,MLT,Malta,Valletta,35.83333333,14.58333333,2024-08-04,122796.0,80.0,922.0,1.0
136,Oceania,MHL,Marshall Islands,Majuro,9.00000000,168.00000000,2024-08-04,16297.0,0.0,17.0,0.0
137,North America,MTQ,Martinique,Fort-de-France,14.66666700,-61.00000000,2024-08-04,230354.0,0.0,1104.0,0.0
138,Africa,MRT,Mauritania,Nouakchott,20.00000000,-12.00000000,2024-08-04,63872.0,0.0,997.0,0.0
139,Africa,MUS,Mauritius,Port Louis,-20.28333333,57.55000000,2024-08-04,328167.0,0.0,1073.0,0.0
140,Africa,MYT,Mayotte,Mamoudzou,-12.83333333,45.16666666,2024-08-04,42027.0,0.0,187.0,0.0
141,North America,MEX,Mexico,Ciudad de México,23.00000000,-102.00000000,2024-08-04,7619458.0,340.0,334551.0,0.0
142,Oceania,FSM,Micronesia (country),Palikir,6.91666666,158.25000000,2024-08-04,31765.0,0.0,65.0,0.0
143,Europe,MDA,Moldova,Chisinau,47.00000000,29.00000000,2024-08-04,637520.0,743.0,12245.0,2.0
144,Europe,MCO,Monaco,Monaco,43.73333333,7.40000000,2024-08-04,17181.0,0.0,67.0,0.0
145,Asia,MNG,Mongolia,Ulan Bator,46.00000000,105.00000000,2024-08-04,1011489.0,0.0,2136.0,0.0
146,Europe,MNE,Montenegro,Podgorica,42.50000000,19.30000000,2024-08-04,251280.0,0.0,2654.0,0.0
147,North America,MSR,Montserrat,Plymouth,16.75000000,-62.20000000,2024-08-04,1403.0,0.0,8.0,0.0
148,Africa,MAR,Morocco,Rabat,32.00000000,-5.00000000,2024-08-04,1279115.0,0.0,16305.0,0.0
149,Africa,MOZ,Mozambique,Maputo,-18.25000000,35.00000000,2024-08-04,233843.0,0.0,2252.0,0.0
150,Asia,MMR,Myanmar,Nay Pyi Taw,22.00000000,98.00000000,2024-08-04,642885.0,26.0,19494.0,0.0
151,Africa,NAM,Namibia,Windhoek,-22.00000000,17.00000000,2024-08-04,172533.0,0.0,4108.0,0.0
152,Oceania,NRU,Nauru,Yaren,-0.53333333,166.91666666,2024-08-04,5393.0,0.0,1.0,0.0
153,Asia,NPL,Nepal,Kathmandu,28.00000000,84.00000000,2024-08-04,1003450.0,0.0,12031.0,0.0
154,Europe,NLD,Netherlands,Amsterdam,52.50000000,5.75000000,2024-08-04,8640008.0,383.0,22986.0,0.0
155,Oceania,NCL,New Caledonia,Noumea,-21.50000000,165.50000000,2024-08-04,80163.0,0.0,314.0,0.0
156,Oceania,NZL,New Zealand,Wellington,-41.00000000,174.00000000,2024-08-11,2639048.0,1730.0,4284.0,16.0
157,North America,NIC,Nicaragua,Managua,13.00000000,-85.00000000,2024-08-04,16185.0,2.0,245.0,0.0
158,Africa,NER,Niger,Niamey,16.00000000,8.00000000,2024-08-04,9518.0,0.0,315.0,0.0
159,Africa,NGA,Nigeria,Abuja,10.00000000,8.00000000,2024-08-04,267188.0,0.0,3155.0,0.0
160,Oceania,NIU,Niue,Alofi,-19.03333333,-169.86666666,2024-08-04,1074.0,0.0,0.0,0.0
161,,OWID_NAM,North America,,,,2024-08-04,124492666.0,454.0,1671178.0,619.0
162,Asia,PRK,North Korea,Pyongyang,40.00000000,127.00000000,2024-08-04,0.0,0.0,0.0,0.0
163,Europe,MKD,North Macedonia,Skopje,41.83333333,22.00000000,2024-08-04,350924.0,116.0,9978.0,0.0
164,Oceania,MNP,Northern Mariana Islands,Saipan,15.20000000,145.75000000,2024-08-04,14912.0,31.0,41.0,0.0
165,Europe,NOR,Norway,Oslo,62.00000000,10.00000000,2024-08-04,1512647.0,745.0,5732.0,0.0
166,,OWID_OCE,Oceania,,,,2024-08-11,15003352.0,1809.0,32918.0,16.0
167,Asia,OMN,Oman,Muscat,21.00000000,57.00000000,2024-08-04,399449.0,0.0,4628.0,0.0
168,Asia,PAK,Pakistan,Islamabad,30.00000000,70.00000000,2024-08-04,1580631.0,0.0,30656.0,0.0
169,Oceania,PLW,Palau,Melekeok,7.50000000,134.50000000,2024-08-04,6372.0,0.0,10.0,0.0
170,Asia,PSE,Palestine,East Jerusalem,31.90000000,35.20000000,2024-08-04,703228.0,0.0,5708.0,0.0
171,North America,PAN,Panama,Panama City,9.00000000,-80.00000000,2024-08-04,1044821.0,0.0,8748.0,0.0
172,Oceania,PNG,Papua New Guinea,Port Moresby,-6.00000000,147.00000000,2024-08-04,46864.0,0.0,670.0,0.0
173,South America,PRY,Paraguay,Asuncion,-23.00000000,-58.00000000,2024-08-04,735759.0,0.0,19880.0,0.0
174,South America,PER,Peru,Lima,-10.00000000,-76.00000000,2024-08-04,4526977.0,0.0,220975.0,0.0
175,Asia,PHL,Philippines,Manila,13.00000000,122.00000000,2024-08-04,4140383.0,0.0,66864.0,0.0
176,Oceania,PCN,Pitcairn,Adamstown,-25.06666666,-130.10000000,2024-08-04,4.0,0.0,0.0,0.0
177,Europe,POL,Poland,Warsaw,52.00000000,20.00000000,2024-08-04,6670799.0,2463.0,120726.0,4.0
178,Europe,PRT,Portugal,Lisbon,39.50000000,-8.00000000,2024-08-04,5664109.0,1055.0,28809.0,50.0
179,North America,PRI,Puerto Rico,San Juan,18.25000000,-66.50000000,2024-08-04,1252713.0,0.0,5938.0,0.0
180,Asia,QAT,Qatar,Doha,25.50000000,51.25000000,2024-08-04,514524.0,0.0,690.0,0.0
181,Africa,REU,Reunion,Saint-Denis,-21.15000000,55.50000000,2024-08-04,494595.0,0.0,921.0,0.0
182,Europe,ROU,Romania,Bucharest,46.00000000,25.00000000,2024-08-04,3541619.0,4633.0,68825.0,6.0
183,Europe,RUS,Russia,Moscow,60.00000000,100.00000000,2024-08-04,24268728.0,7777.0,403188.0,10.0
184,Africa,RWA,Rwanda,Kigali,-2.00000000,30.00000000,2024-08-04,133264.0,0.0,1468.0,0.0
185,North America,BLM,Saint Barthelemy,Gustavia,18.50000000,-63.41666666,2024-08-04,5507.0,0.0,5.0,0.0
186,Africa,SHN,Saint Helena,Jamestown,-15.95000000,-5.70000000,2024-08-04,2166.0,0.0,0.0,0.0
187,North America,KNA,Saint Kitts and Nevis,Basseterre,17.33333333,-62.75000000,2024-08-04,6607.0,0.0,46.0,0.0
188,North America,LCA,Saint Lucia,Castries,13.88333333,-60.96666666,2024-08-04,30282.0,0.0,410.0,0.0
189,North America,MAF,Saint Martin (French part),Marigot,18.08333333,-63.95000000,2024-08-04,12324.0,0.0,46.0,0.0
190,North America,SPM,Saint Pierre and Miquelon,Saint-Pierre,46.83333333,-56.33333333,2024-08-04,3426.0,0.0,2.0,0.0
191,North America,VCT,Saint Vincent and the Grenadines,Kingstown,13.25000000,-61.20000000,2024-08-04,9674.0,0.0,124.0,0.0
192,Oceania,WSM,Samoa,Apia,-13.58333333,-172.33333333,2024-08-04,17057.0,0.0,31.0,0.0
193,Europe,SMR,San Marino,San Marino,43.76666666,12.41666666,2024-08-04,25292.0,0.0,126.0,0.0
194,Africa,STP,Sao Tome and Principe,Sao Tome,1.00000000,7.00000000,2024-08-04,6771.0,0.0,80.0,0.0
195,Asia,SAU,Saudi Arabia,Riyadh,25.00000000,45.00000000,2024-08-04,841469.0,0.0,9646.0,0.0
196,Africa,SEN,Senegal,Dakar,14.00000000,-14.00000000,2024-08-04,89485.0,0.0,1971.0,0.0
197,Europe,SRB,Serbia,Belgrade,44.00000000,21.00000000,2024-08-04,2583470.0,0.0,18057.0,0.0
198,Africa,SYC,Seychelles,Victoria,-4.58333333,55.66666666,2024-08-04,51886.0,0.0,172.0,0.0
199,Africa,SLE,Sierra Leone,Freetown,8.50000000,-11.50000000,2024-08-04,7979.0,0.0,125.0,0.0
200,Asia,SGP,Singapore,Singapur,1.36666666,103.80000000,2024-08-04,3006155.0,0.0,2024.0,0.0
201,North America,SXM,Sint Maarten (Dutch part),Philipsburg,18.03333300,-63.05000000,2024-08-04,11051.0,0.0,92.0,0.0
202,Europe,SVK,Slovakia,Bratislava,48.66666666,19.50000000,2024-08-04,1878002.0,61.0,21227.0,1.0
203,Europe,SVN,Slovenia,Ljubljana,46.11666666,14.81666666,2024-08-04,1356582.0,148.0,10083.0,4.0
204,Oceania,SLB,Solomon Islands,Honiara,-8.00000000,159.00000000,2024-08-04,25954.0,0.0,199.0,0.0
205,Africa,SOM,Somalia,Mogadishu,10.00000000,49.00000000,2024-08-04,27334.0,0.0,1361.0,0.0
206,Africa,ZAF,South Africa,Pretoria,-29.00000000,24.00000000,2024-08-04,4072765.0,0.0,102595.0,0.0
207,,OWID_SAM,South America,,,,2024-08-04,68809418.0,1308.0,1354187.0,1.0
208,Asia,KOR,South Korea,Seoul,37.00000000,127.50000000,2024-08-04,34571873.0,0.0,35934.0,0.0
209,Africa,SSD,South Sudan,Juba,7.00000000,30.00000000,2024-08-04,18823.0,0.0,147.0,0.0
210,Europe,ESP,Spain,Madrid,40.00000000,-4.00000000,2024-08-04,13980340.0,,121852.0,
211,Asia,LKA,Sri Lanka,Colombo,7.00000000,81.00000000,2024-08-04,672798.0,1.0,16907.0,0.0
212,Africa,SDN,Sudan,Khartoum,15.00000000,30.00000000,2024-08-04,63993.0,0.0,5046.0,0.0
213,South America,SUR,Suriname,Paramaribo,4.00000000,-56.00000000,2024-08-04,82501.0,0.0,1406.0,0.0
214,Europe,SWE,Sweden,Stockholm,62.00000000,15.00000000,2024-08-04,2755181.0,630.0,27399.0,28.0
215,Europe,CHE,Switzerland,Bern,47.00000000,8.00000000,2024-08-04,4457868.0,426.0,14170.0,0.0
216,Asia,SYR,Syria,Damascus,35.00000000,38.00000000,2024-08-04,57423.0,0.0,3163.0,0.0
217,Asia,TJK,Tajikistan,Dushanbe,39.00000000,71.00000000,2024-08-04,17786.0,0.0,125.0,0.0
218,Africa,TZA,Tanzania,Dodoma,-6.00000000,35.00000000,2024-08-04,43230.0,0.0,846.0,0.0
219,Asia,THA,Thailand,Bangkok,15.00000000,100.00000000,2024-08-04,4799180.0,560.0,34715.0,1.0
220,Africa,TGO,Togo,Lome,8.00000000,1.16666666,2024-08-04,39530.0,0.0,290.0,0.0
221,Oceania,TKL,Tokelau,,-9.00000000,-172.00000000,2024-08-04,80.0,0.0,0.0,0.0
222,Oceania,TON,Tonga,Nuku'alofa,-20.00000000,-175.00000000,2024-08-04,16976.0,0.0,12.0,0.0
223,North America,TTO,Trinidad and Tobago,Port of Spain,11.00000000,-61.00000000,2024-08-04,191496.0,0.0,4390.0,0.0
224,Africa,TUN,Tunisia,Tunis,34.00000000,9.00000000,2024-08-04,1153361.0,0.0,29423.0,0.0
225,Asia,TUR,Turkey,Ankara,39.00000000,35.00000000,2024-08-04,17004718.0,0.0,101419.0,0.0
226,Asia,TKM,Turkmenistan,Ashgabat,40.00000000,60.00000000,2024-08-04,0.0,0.0,0.0,0.0
227,North America,TCA,Turks and Caicos Islands,Cockburn Town,21.75000000,-71.58333333,2024-08-04,6805.0,0.0,40.0,0.0
228,Oceania,TUV,Tuvalu,Funafuti,-8.00000000,178.00000000,2024-08-04,2943.0,0.0,1.0,0.0
229,Africa,UGA,Uganda,Kampala,1.00000000,32.00000000,2024-08-04,172154.0,0.0,3632.0,0.0
230,Europe,UKR,Ukraine,Kyiv,49.00000000,32.00000000,2024-08-04,5532777.0,171.0,109920.0,0.0
231,Asia,ARE,United Arab Emirates,Abu Dhabi,24.00000000,54.00000000,2024-08-04,1067030.0,0.0,2349.0,0.0
232,Europe,GBR,United Kingdom,London,54.00000000,-2.00000000,2024-08-04,24974629.0,3400.0,232112.0,0.0
233,North America,USA,United States,Washington,38.00000000,-97.00000000,2024-08-04,103436829.0,,1193165.0,619.0
234,North America,VIR,United States Virgin Islands,Charlotte Amalie,18.34000000,-64.93000000,2024-08-04,25389.0,0.0,132.0,0.0
235,,OWID_UMC,Upper-middle-income countries,,,,2024-08-14,251753518.0,14277.0,2824452.0,29.0
236,South America,URY,Uruguay,Montevideo,-33.00000000,-56.00000000,2024-08-04,1041346.0,15.0,7682.0,0.0
237,Asia,UZB,Uzbekistan,Tashkent,41.00000000,64.00000000,2024-08-04,175081.0,0.0,1016.0,0.0
238,Oceania,VUT,Vanuatu,Port Vila,-16.00000000,167.00000000,2024-08-04,12019.0,0.0,14.0,0.0
239,Europe,VAT,Vatican,Vatican City,41.90000000,12.45000000,2024-08-04,26.0,0.0,0.0,0.0
240,South America,VEN,Venezuela,Caracas,8.00000000,-66.00000000,2024-08-04,552695.0,0.0,5856.0,0.0
241,Asia,VNM,Vietnam,Hanoi,16.16666666,107.83333333,2024-08-04,11624000.0,0.0,43206.0,0.0
242,Oceania,WLF,Wallis and Futuna,Mata Utu,-13.30000000,-176.20000000,2024-08-04,3760.0,0.0,9.0,0.0
243,,OWID_WRL,World,,,,2024-08-14,775866783.0,47169.0,7057132.0,815.0
244,Asia,YEM,Yemen,Sanaa,15.00000000,48.00000000,2024-08-04,11945.0,0.0,2159.0,0.0
245,Africa,ZMB,Zambia,Lusaka,-15.00000000,30.00000000,2024-08-04,349842.0,18.0,4077.0,0.0
246,Africa,ZWE,Zimbabwe,Harare,-20.00000000,30.00000000,2024-08-04,266386.0,0.0,5740.0,0.0
